Price,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOG,MSFT,AAPL,AMZN,GOOG,MSFT,AAPL,AMZN,GOOG,MSFT,AAPL,AMZN,GOOG,MSFT,AAPL,AMZN,GOOG,MSFT
Date,,,,,,,,,,,,,,,,,,,,
2000-01-03,0.8421505093574524,4.46875,,35.79230499267578,0.8463821917967449,4.478125095367432,,36.425627279409454,0.7650355602037866,3.9523439407348633,,34.39131932808311,0.7890165672669442,4.074999809265137,,36.04179559047995,535796800,322352000,,53228400
2000-01-04,0.7711487412452698,4.096875190734863,,34.5832405090332,0.8322757961538717,4.574999809265137,,35.965034802401895,0.7612740795371489,4.087500095367432,,34.468090984585814,0.8144080183786454,4.268750190734863,,34.87111432015168,512377600,349748000,,54119000
2000-01-05,0.7824332118034363,3.487499952316284,,34.9478874206543,0.8318057242468626,3.7562499046325684,,35.734742656374685,0.7749102926651642,3.4000000953674316,,33.585284451479964,0.7805524694628402,3.5250000953674316,,34.122649002703646,778321600,769148000,,64059600
2000-01-06,0.7147228121757507,3.278125047683716,,33.77718734741211,0.8050037798309092,3.6343750953674316,,34.96706553805958,0.7147228121757507,3.200000047683716,,33.278206170688975,0.7984212059086991,3.565624952316284,,34.44889277761633,767972800,375040000,,54976600
2000-01-07,0.7485784292221069,3.4781250953674316,,34.21860885620117,0.7598636873949384,3.5250000953674316,,34.46809955453579,0.718485093824127,3.309375047683716,,32.95196377234852,0.7260080133246739,3.3499999046325684,,33.35498720811982,460734400,210108000,,62013600
2000-01-10,0.7354122996330261,3.4593749046325684,,34.468101501464844,0.7692671116434155,3.6312499046325684,,34.90950814652815,0.7128418892356713,3.278125047683716,,34.199419195774134,0.7673863696705593,3.628124952316284,,34.83274177347366,505064000,295158000,,44963600
2000-01-11,0.6977953910827637,3.3375000953674316,,33.58527374267578,0.7476381055639649,3.5,,35.082217372349334,0.6808680055564764,3.25,,33.37416630772182,0.7217764021916082,3.34375,,34.23778763253348,441548800,210654000,,46743600
2000-01-12,0.6559466123580933,3.1781249046325684,,32.49137496948242,0.7184850760082616,3.4000000953674316,,33.43176325861688,0.6507737295467325,3.1500000953674316,,32.069159819258786,0.7147227374292697,3.393749952316284,,33.316613672192254,976068800,216090000,,66532400
2000-01-13,0.7278886437416077,3.296875,,33.10548400878906,0.7429353352753487,3.359375,,33.354974612913274,0.6959145686267261,3.15625,,31.167133930593298,0.7108432837245503,3.246875047683716,,32.04994683749434,1032684800,208962000,,83144000
2000-01-14,0.7556309103965759,3.2125000953674316,,34.468101501464844,0.7692670034758592,3.4312500953674316,,34.98627451958263,0.7476377958039355,3.200000047683716,,32.47217580204817,0.7523396249628949,3.3375000953674316,,32.91358244711147,390376000,137072000,,73416400
2000-01-18,0.7819631695747375,3.206249952316284,,35.40848159790039,0.7974808654855077,3.2593750953674316,,35.77312178779747,0.7556312665240567,3.1500000953674316,,34.31456102820916,0.7598637535042794,3.171875,,34.33375261715111,459177600,107698000,,81483600
2000-01-19,0.8017125129699707,3.340625047683716,,32.85598373413086,0.8181697517740069,3.375,,34.23777744257561,0.7777315000665199,3.1500000953674316,,32.548918465587576,0.7946589370836793,3.206249952316284,,33.93071217403234,597643200,164910000,,97568200
2000-01-20,0.8539061546325684,3.237499952316284,,32.548927307128906,0.914092830513754,3.3499999046325684,,33.68123079245945,0.8539061546325684,3.1968750953674316,,32.51054413813465,0.8689527984908052,3.346874952316284,,32.87518424358008,1831132800,119560000,,56349800
2000-01-21,0.8374488353729248,3.1031250953674316,,31.858020782470703,0.8595483008053934,3.231250047683716,,32.93274919440947,0.8289847155526959,3.0,,31.704488152193733,0.8595483008053934,3.231250047683716,,32.85598287927099,495924800,229238000,,68416200
2000-01-24,0.7993614077568054,3.5062499046325684,,31.090362548828125,0.848262862603633,3.668750047683716,,32.45296485806689,0.7908972395034265,3.375,,30.956021476086278,0.8158185919186416,3.378124952316284,,31.872419508003897,440876800,583404000,,63597600
2000-01-25,0.8445014953613281,3.4625000953674316,,31.570165634155273,0.8510849726274756,3.5625,,31.896422665024964,0.7702084797191857,3.299999952316284,,30.572202951495047,0.7899570030013092,3.5,,31.013609522671686,497145600,188682000,,59823200
